School_Name,EMIS,District,Enrolment,Boys,Girls,Total_Toilets_available,Teachers_toilets,Girls_toilets,Boys_toilets,Urinals,Pit_toilets,VIP_toilets,Flushing_toilets,Enviro_toilets,Sanitation_Plan,Construction,Water,Notes
Legaletlwa Secondary School,924640538,Sekhukhune,406,201,205,8,0,0,0,0,8,0,0,0,Yes,Complete,Yes,"Need 150 desks and chairs. 3 blocks of classrooms are dilapidated and need repairs. Total enrolment is 686. Tebogo to get breakdown of boys and girls. 14/04: Construction of 4 blocks of toilets has started. Have received no furniture. 
08/05: Construction of toilets complete. No furniture. Classrooms not addressed. "
Lehlakong Primary School,924640552,Sekhukhune,332,168,164,12,0,6,6,0,0,12,0,0,Yes,Complete,Yes,"Need furniture for Grade R – 35 desks and chairs. Buildings are dilapidated.
08/05: still need furniture. "
Leriana Secondary School,996606531,Sekhukhune,400,204,196,4,2,1,1,0,4,0,0,0,Yes,No construction,Yes,"Pit toilets in poor condition, sharing with learners from primary school next door, which doesn’t have toilets at all. Need furniture for teachers - 14 desks and 14 chairs. 15/04: Consruction hasn't started. No furniture received.  08/05: no construction."
Mafumani Secondary School,916411341,Mopani ,921,455,466,25,4,0,0,0,25,0,0,0,No,n/a,Yes,08/05: Need 600 double desks for learners. The toilets are not in good condition. 
Mahatlani-Wayeni Secondary School,912520153,Vhembe,345,162,183,,0,0,0,0,0,0,0,0,Yes,In progress,Yes,"Construction of VIPs was underway, but contractors left without completing them. They have no furniture and have borrowed from the primary school. They need 345 desks and chairs for learners and 13 tables and chairs for teachers. 08/05: construction has been slow because of problems with the contractors and the workers. "
Makala Secondary School,923240840,Mopani,587,296,291,8,0,0,0,0,8,0,0,0,No,n/a,Yes,Toilets are in bad conditon. Have 10 mobile classrooms which are old and falling apart. 
Makhosani Primary School,995502101,Vhembe,532,264,268,6,0,0,0,0,6,0,0,0,No,n/a,Yes,
Majane Matlala Secondary School,924651958,Sekhukhune,195,101,94,12,0,0,0,0,12,0,0,0,Yes,No construction,Yes,"Need 100 desks and chairs. 
14/04 construction still has not begun. No furniture received. 
08/05: no progress with toilets or furniture."
Malekana Primary School,925660501,Sekhukhune,474,237,237,,0,0,0,0,0,0,0,0,Yes,Material delivered,,They are presently using dilapidated pit toilets. Contractor has been appointed for construction of toilets. They are surveying the area for water. 
Malumulele Secondary School,911360856,Vhembe,912,460,452,Pit toilets,0,0,0,0,0,0,0,0,No,N/A,No,"Not on the sanitation plan but the school is supposed to be moving. 
08/05: no furniture"
Mankopodi Primary School,925610551,Sekhukhune,124,60,64,9,3,3,3,0,0,9,0,0,N/A,N/A,No,"No water, using community’s water. Need 20 desks and chairs for learners. 
 "
Manyunyu Primary School,915530723,Mopani,451,229,222,20,0,0,0,0,0,20,0,0,Yes,Complete,Yes,"Need 150 desks and chairs. They also need an administration block.
08/05: no furniture "
Mapela Primary School,921120843,Waterberg,512,,,16,0,0,0,0,0,16,0,0,Yes,Complete,Yes,Need a block of classrooms. 
Mareseleng Secondary School,924651255,Sekhukhune,311,149,162,,0,0,0,0,0,0,0,0,Yes,No construction,Yes,"All toilets are pit toilets; boys’ toilets are in such bad condition that they are unusable. Boys use the bush. Insufficient classrooms and insufficient furniture. 
15/04: No construction of toilets. No furniture delivered.
08/05: no construction yet, no furniture"
Mashilompana Primary School School,920213157,Capricorn,230,111,119,5,2,3,1,0,5,0,0,0,No,n/a,Yes,Pit toilets are dilapidated. 
Matime Primary School,925660747,Sekhukhune,307,149,158,16,6,0,0,0,16,0,0,0,No*,n/a,Yes,LDE promised to construct new toilets in April 2014. School is missing textbooks. 
Matsotsosela Primary School,916420369,Mopani,281,,,4,0,0,0,0,0,4,0,0,No,n/a,Yes,Toilets are flush toilets. 1 is used by teachers only. They have pit toilets but they are too dangerous to use. Need furniture. Have insufficient and dilapidated classrooms. No workspace for teachers. No storeroom. 15/04: received furniture. Not enough toilets. 
