province_cd,province,province_long, Numbers 2012 0-19.9%, Numbers 2012  
20-39.9%,Numbers 2012 40-59.9%,Numbers 2012 60-79.9%,Numbers 2012 80-100%,Numbers 2012 exactly 0%,Numbers 2012 exactly 100%,Pass rate 2012 0-19.9%,Pass rate 2012 20-39.9%,Pass rate 2012 40-59.9%,Pass rate 2012 60-79.9%,Pass rate 2012 80-100%,Pass rate exactly 0%,Pass rate exactly 100%
1,WC,Western Cape,0,7,23,132,263,0,65,0,1.6,5.4,31.1,61.9,0,15.3
2,EC,Eastern Cape,44,174,235,259,195,1,30,4.9,19.2,25.9,28.6,21.5,0.1,3.3
3,NC,Northern Cape,0,6,16,45,67,0,20,0,4.5,11.9,33.6,50,0,14.9
4,FS,Free State,0,4,26,95,193,0,37,0,1.3,8.2,29.9,60.7,0,11.6
5,KZ,KwaZulu-Natal,34,109,330,593,643,2,106,2,6.4,19.3,34.7,37.6,0.1,6.2
6,NW,North West,1,10,34,132,202,1,30,0.3,2.6,9,34.8,53.3,0.3,7.9
7,GT,Gauteng,3,9,67,224,477,1,86,0.4,1.2,8.6,28.7,61.2,0.1,11
8,MP,Mpumalanga,5,24,141,187,171,0,18,1,4.7,26.7,35.4,32.4,0,3.5
9,LP,Limpopo,39,142,352,504,374,2,36,2.8,10.1,24.9,35.7,26.5,0.1,2.6
